Time	Channel A	Channel B
(ms)	(mV)	(V)

-1.00001798	11.10874000	4.84115100
-0.99999798	11.10874000	4.84115100
-0.99997798	11.10874000	4.84115100
-0.99995798	11.10874000	4.84115100
-0.99993798	11.10874000	4.84115100
-0.99991798	11.10874000	4.84115100
-0.99989798	11.10874000	4.84115100
-0.99987798	11.10874000	4.84115100
-0.99985798	11.10874000	4.84115100
-0.99983798	11.90222000	4.84115100
-0.99981798	11.10874000	4.84115100
-0.99979798	11.10874000	4.84115100
-0.99977798	11.90222000	4.84115100
-0.99975798	11.10874000	4.84115100
-0.99973798	11.90222000	4.84115100
-0.99971798	11.10874000	4.84115100
-0.99969798	10.31526000	4.84115100
-0.99967798	11.90222000	4.84115100
-0.99965798	11.90222000	4.84115100
-0.99963798	11.90222000	4.92049900
-0.99961798	11.10874000	4.84115100
-0.99959798	11.90222000	4.84115100
-0.99957798	11.10874000	4.92049900
-0.99955798	12.69570000	4.84115100
-0.99953798	11.10874000	4.84115100
-0.99951798	12.69570000	4.92049900
-0.99949798	10.31526000	4.84115100
-0.99947798	11.10874000	4.84115100
-0.99945798	11.10874000	4.84115100
-0.99943798	11.90222000	4.84115100
-0.99941798	11.10874000	4.84115100
-0.99939798	11.10874000	4.84115100
-0.99937798	11.10874000	4.84115100
-0.99935798	11.10874000	4.84115100
-0.99933798	11.10874000	4.84115100
-0.99931798	11.10874000	4.84115100
-0.99929798	11.10874000	4.84115100
-0.99927798	11.10874000	4.84115100
-0.99925798	11.10874000	4.84115100
-0.99923798	12.69570000	4.84115100
-0.99921798	11.10874000	4.84115100
-0.99919798	11.90222000	4.84115100
-0.99917798	12.69570000	4.84115100
-0.99915798	11.10874000	4.84115100
-0.99913798	11.90222000	4.92049900
-0.99911798	11.10874000	4.84115100
-0.99909798	11.10874000	4.84115100
-0.99907798	11.90222000	4.84115100
-0.99905798	11.10874000	4.84115100
-0.99903798	11.10874000	4.84115100
-0.99901798	11.10874000	4.84115100
-0.99899798	11.10874000	4.84115100
-0.99897798	12.69570000	4.84115100
-0.99895798	12.69570000	4.84115100
-0.99893798	12.69570000	4.84115100
-0.99891798	12.69570000	4.84115100
-0.99889798	12.69570000	4.84115100
-0.99887798	11.10874000	4.84115100
-0.99885798	12.69570000	4.84115100
-0.99883798	12.69570000	4.92049900
-0.99881798	11.10874000	4.84115100
-0.99879798	12.69570000	4.84115100
-0.99877798	12.69570000	4.84115100
-0.99875798	11.90222000	4.92049900
-0.99873798	11.10874000	4.84115100
-0.99871798	11.10874000	4.92049900
-0.99869798	12.69570000	4.84115100
-0.99867798	12.69570000	4.92049900
-0.99865798	12.69570000	4.84115100
-0.99863798	11.10874000	4.92049900
-0.99861798	11.10874000	4.84115100
-0.99859798	12.69570000	4.84115100
-0.99857798	11.90222000	4.84115100
-0.99855798	12.69570000	4.84115100
-0.99853798	11.90222000	4.84115100
-0.99851798	12.69570000	4.84115100
-0.99849798	12.69570000	4.92049900
-0.99847798	11.90222000	4.92049900
-0.99845798	11.90222000	4.84115100
-0.99843798	11.10874000	4.84115100
-0.99841798	11.10874000	4.84115100
-0.99839798	12.69570000	4.84115100
-0.99837798	11.90222000	4.84115100
-0.99835798	12.69570000	4.84115100
-0.99833798	11.10874000	4.84115100
-0.99831798	12.69570000	4.84115100
-0.99829798	11.90222000	4.84115100
-0.99827798	11.90222000	4.92049900
-0.99825798	12.69570000	4.84115100
-0.99823798	12.69570000	4.84115100
-0.99821798	11.90222000	4.84115100
-0.99819798	12.69570000	4.84115100
-0.99817798	11.10874000	4.84115100
-0.99815798	12.69570000	4.84115100
-0.99813798	11.90222000	4.84115100
-0.99811798	11.90222000	4.84115100
-0.99809798	11.90222000	4.84115100
-0.99807798	11.10874000	4.84115100
-0.99805798	11.90222000	4.84115100
-0.99803798	11.10874000	4.84115100
-0.99801798	11.10874000	4.84115100
-0.99799798	12.69570000	4.92049900
-0.99797798	11.90222000	4.84115100
-0.99795798	11.90222000	4.92049900
-0.99793798	11.10874000	4.84115100
-0.99791798	11.90222000	4.84115100
-0.99789798	11.90222000	4.84115100
-0.99787798	11.90222000	4.84115100
-0.99785798	12.69570000	4.84115100
-0.99783798	11.10874000	4.84115100
-0.99781798	11.90222000	4.84115100
-0.99779798	11.10874000	4.84115100
-0.99777798	12.69570000	4.84115100
-0.99775798	12.69570000	4.84115100
-0.99773798	12.69570000	4.92049900
-0.99771798	11.10874000	4.92049900
-0.99769798	11.90222000	4.84115100
-0.99767798	12.69570000	4.84115100
-0.99765798	11.10874000	4.84115100
-0.99763798	12.69570000	4.84115100
-0.99761798	11.10874000	4.84115100
-0.99759798	11.90222000	4.84115100
-0.99757798	11.10874000	4.92049900
-0.99755798	11.90222000	4.92049900
-0.99753798	11.90222000	4.92049900
-0.99751798	11.90222000	4.92049900
-0.99749798	11.10874000	4.92049900
-0.99747798	11.90222000	4.84115100
-0.99745798	12.69570000	4.92049900
-0.99743798	11.90222000	4.84115100
-0.99741798	11.90222000	4.84115100
-0.99739798	12.69570000	4.84115100
-0.99737798	11.10874000	4.84115100
-0.99735798	14.28571000	4.84115100
-0.99733798	11.90222000	4.84115100
-0.99731798	12.69570000	4.84115100
-0.99729798	11.90222000	4.84115100
-0.99727798	12.69570000	4.84115100
-0.99725798	12.69570000	4.84115100
-0.99723798	12.69570000	4.84115100
-0.99721798	11.90222000	4.84115100
-0.99719798	12.69570000	4.84115100
-0.99717798	12.69570000	4.84115100
-0.99715798	11.90222000	4.92049900
-0.99713798	12.69570000	4.84115100
-0.99711798	11.10874000	4.84115100
-0.99709798	12.69570000	4.84115100
-0.99707798	11.10874000	4.84115100
-0.99705798	12.69570000	4.84115100
-0.99703798	11.10874000	4.84115100
-0.99701798	13.48918000	4.84115100
-0.99699798	11.10874000	4.84115100
-0.99697798	12.69570000	4.84115100
-0.99695798	11.10874000	4.84115100
-0.99693798	11.10874000	4.84115100
-0.99691798	11.10874000	4.84115100
-0.99689798	11.90222000	4.84115100
-0.99687798	11.10874000	4.84115100
-0.99685798	11.10874000	4.84115100
-0.99683798	12.69570000	4.84115100
-0.99681798	11.10874000	4.84115100
-0.99679798	11.10874000	4.84115100
-0.99677798	11.10874000	4.92049900
-0.99675798	12.69570000	4.84115100
-0.99673798	12.69570000	4.84115100
