10.02.2014	13:22:57
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 296	xPos 468


Zeilenpixel	Spaltenpixel
18	18
18	18
18	22
18	18
18	18
28	18
28	18
28	22
28	18
22	34
22	18
22	22
18	28
13	18
9	22
9	22
13	18
22	28
28	13
22	22
13	9
9	22
18	22
18	18
22	13
18	18
22	18
22	22
18	18
13	22
13	28
13	18
13	28
18	18
22	18
28	22
22	18
18	22
13	28
13	22
18	13
18	28
13	13
18	13
22	18
18	13
22	13
22	13
18	18
9	13
13	18
18	9
22	28
13	13
22	13
28	9
18	13
9	9
9	18
18	18
22	18
13	13
18	18
22	13
13	13
13	9
13	22
13	18
13	18
13	28
22	22
28	28
28	9
18	18
18	18
22	28
18	13
18	22
13	18
18	18
22	13
22	13
13	18
13	13
18	18
18	18
18	18
13	18
13	28
13	18
13	13
13	18
18	18
18	18
18	18
22	18
22	13
18	13
13	13
13	22
18	13
18	22
18	18
22	18
22	18
22	22
22	22
18	22
22	22
18	22
22	18
22	18
28	18
22	18
18	18
13	22
13	9
13	9
13	13
9	13
9	18
13	18
18	13
13	18
18	22
28	18
28	18
18	18
22	13
22	13
13	18
13	13
13	18
13	13
13	18
18	18
22	18
18	9
18	18
18	18
18	13
18	22
13	18
13	18
22	13
22	13
22	13
18	22
13	13
9	13
6	22
6	18
13	13
18	13
18	18
18	18
18	13
18	13
22	13
18	13
13	13
13	9
22	9
22	13
18	13
13	18
9	13
13	13
18	18
13	13
9	13
13	18
9	13
13	18
18	28
22	18
18	13
18	13
18	18
13	13
13	18
13	22
13	9
13	13
13	13
18	13
22	18
18	13
13	22
13	22
13	18
18	28
18	28
13	22
9	18
13	28
18	22
13	28
13	28
13	22
9	22
6	28
6	22
6	28
13	40
18	34
18	40
13	46
13	40
18	40
18	46
13	61
9	76
13	76
18	68
18	61
9	76
9	93
18	102
18	84
18	102
13	121
9	141
9	172
13	219
13	184
13	219
13	256
18	295
22	309
18	282
18	309
22	337
13	396
9	381
9	540
13	663
13	776
9	681
13	609
13	681
13	776
9	1000
13	1199
18	1245
13	1292
18	1199
18	1339
13	1534
9	1610
6	1636
13	1560
9	1688
13	1955
13	2122
18	2179
18	2150
18	2037
18	1927
18	1819
18	1927
13	2065
9	2501
9	2904
13	3163
13	3262
9	3195
9	3065
9	3032
9	3195
13	3429
13	3704
13	3951
18	4059
22	4023
18	3987
9	3774
9	3600
18	3429
22	3463
22	3429
13	3463
6	3600
9	3810
18	4059
18	4204
13	4352
13	4576
22	4690
18	4882
13	4998
9	5195
6	5354
18	5515
18	5637
18	5678
13	5678
18	5555
18	5434
9	5314
18	5155
18	5274
18	5195
9	5155
9	4959
13	4843
22	4690
13	4766
9	4728
9	4804
9	4766
18	4766
13	4766
13	4843
13	4766
13	4614
18	4501
13	4315
9	4132
13	3916
22	3704
18	3429
18	3097
22	2936
22	2904
18	2904
9	2904
13	3065
22	3130
22	3262
9	3262
9	3295
13	3163
13	2968
9	2623
9	2294
13	2207
18	2236
18	2382
13	2471
9	2562
13	2501
18	2236
18	1982
18	1714
22	1534
22	1510
22	1560
13	1610
13	1560
18	1339
13	1087
18	835
18	855
22	979
22	1109
22	1109
22	1022
22	776
18	609
13	627
18	627
18	627
28	490
22	337
13	269
18	351
22	381
22	282
28	207
34	172
28	151
22	172
28	184
40	162
40	130
34	102
28	111
46	141
61	102
68	84
68	68
53	68
46	68
53	76
93	34
102	40
76	46
61	40
84	34
111	34
184	34
231	18
195	18
151	34
162	18
269	13
351	22
309	18
231	28
231	34
282	13
426	18
523	18
458	18
381	9
458	18
815	18
1000	6
855	13
681	13
896	9
1087	13
1387	9
1436	13
1268	13
1109	18
1154	18
1436	13
1793	18
1846	13
1560	9
1534	13
1688	13
2037	13
2265	6
2179	13
1900	13
1819	18
2382	13
2840	18
2904	9
2684	13
2623	13
2872	18
3000	6
3228	13
3163	18
3130	13
3228	9
3463	9
3566	18
3497	9
3429	13
3739	9
4389	13
4576	18
4690	13
4241	13
3670	13
3463	13
3810	22
4652	9
5155	18
4920	13
5076	9
5274	18
5195	13
4959	18
4652	13
4278	22
4204	13
4804	9
5394	13
5555	9
5434	9
5354	13
5555	18
5678	18
5801	18
5637	13
5195	9
4804	22
4652	18
4463	13
4132	18
3916	13
3635	13
3774	18
3916	18
4168	13
4241	18
4315	18
4389	18
4352	18
4501	13
4501	18
4204	18
3987	9
3845	13
3774	6
3670	9
3566	13
3463	9
3362	18
3228	9
3228	9
3130	22
2904	22
2715	13
2531	22
2471	13
2441	22
2501	13
2471	22
2441	13
2501	13
2531	22
2471	18
2471	18
2441	18
2441	13
2412	13
2323	9
2179	13
1955	13
1714	18
1436	18
1315	22
1199	13
1065	13
1065	18
1222	13
1387	18
1363	9
1315	18
1131	18
875	18
645	18
523	22
474	18
490	9
574	18
645	13
574	13
506	18
381	18
309	13
309	18
337	18
396	13
381	18
282	13
162	13
111	18
121	13
141	13
162	9
172	18
141	22
102	13
76	9
68	18
68	18
61	22
61	18
68	9
53	18
53	13
61	22
53	22
34	18
34	18
46	13
40	9
40	13
46	13
34	13
22	13
18	13
13	9
13	0
18	0
18	0
18	0
18	0
22	0
28	0
28	0
18	0
13	0
13	0
13	0
9	0
13	0
13	0
9	0
13	0
22	0
18	0
13	0
6	0
6	0
13	0
22	0
18	0
9	0
13	0
18	0
13	0
9	0
9	0
9	0
18	0
18	0
13	0
13	0
13	0
13	0
18	0
22	0
18	0
13	0
9	0
13	0
18	0
22	0
9	0
9	0
9	0
13	0
13	0
9	0
13	0
13	0
18	0
22	0
18	0
18	0
18	0
13	0
13	0
13	0
9	0
13	0
13	0
9	0
13	0
18	0
9	0
13	0
22	0
18	0
9	0
6	0
13	0
13	0
18	0
18	0
13	0
6	0
6	0
13	0
18	0
18	0
13	0
9	0
9	0
13	0
13	0
6	0
6	0
9	0
18	0
9	0
9	0
13	0
18	0
13	0
13	0
13	0
13	0
13	0
9	0
13	0
9	0
9	0
9	0
13	0
13	0
9	0
9	0
13	0
9	0
13	0
18	0
18	0
18	0
13	0
18	0
18	0
13	0
13	0
9	0
13	0
13	0
13	0
13	0
9	0
18	0
22	0
13	0
13	0
18	0
13	0
6	0
6	0
13	0
13	0
13	0
9	0
9	0
6	0
6	0
9	0
13	0
9	0
9	0
9	0
9	0
9	0
9	0
9	0
13	0
9	0
9	0
9	0
13	0
6	0
6	0
9	0
13	0
13	0
9	0
13	0
9	0
9	0
9	0
9	0
9	0
9	0
9	0
6	0
9	0
18	0
18	0
13	0
9	0
6	0
6	0
9	0
9	0
13	0
9	0
13	0
9	0
9	0
9	0
9	0
9	0
9	0

