10.02.2014	14:56:56
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 84	xPos 438


Zeilenpixel	Spaltenpixel
0	1022
0	1022
0	1022
0	1043
0	1109
0	1043
0	1065
0	1087
0	1131
0	1154
0	1339
0	1292
0	1245
0	1176
0	1268
0	1268
0	1315
0	1292
0	1315
0	1315
0	1411
0	1387
0	1411
0	1363
0	1387
0	1460
0	1510
0	1485
0	1485
0	1245
0	1268
0	1268
0	1176
0	1131
0	1043
0	1065
0	1022
0	1087
0	1154
0	1000
0	958
0	1043
0	1022
0	916
0	796
0	776
0	738
0	757
0	815
0	663
0	523
0	523
0	506
0	426
0	411
0	396
0	351
0	282
0	309
0	295
0	231
0	195
0	184
0	172
0	184
0	184
0	102
0	84
0	84
0	76
0	61
0	34
0	40
0	28
0	28
0	18
0	13
0	22
0	9
0	9
0	9
0	9
0	6
0	9
0	22
0	18
0	13
0	28
0	28
0	46
0	46
0	46
0	46
0	76
0	102
0	93
0	84
0	130
0	172
0	195
0	219
0	231
0	256
0	231
0	295
0	309
0	309
0	381
0	426
0	458
0	523
0	591
0	609
0	663
0	757
0	815
0	796
0	719
0	855
0	875
0	958
0	958
0	916
0	875
0	1022
0	1087
0	1065
0	916
0	937
0	1109
0	1087
0	979
0	958
0	855
0	875
0	916
0	937
0	835
0	855
0	855
0	896
0	815
0	738
0	681
0	574
0	609
0	627
0	523
0	458
0	366
0	351
0	366
0	323
0	282
0	195
0	207
0	184
0	184
0	141
0	93
0	76
0	68
0	61
0	93
0	46
0	34
0	22
0	28
0	22
0	18
0	13
0	18
0	9
0	6
0	13
0	18
0	13
0	18
0	9
0	18
0	22
0	53
0	84
0	46
0	76
0	151
0	323
0	184
0	68
0	111
0	243
0	295
0	295
0	396
0	609
0	645
0	523
0	269
0	231
0	337
0	540
0	609
0	490
0	323
0	295
0	309
0	506
0	815
0	1065
0	1199
0	1387
0	1436
0	1411
0	1436
0	1199
0	855
0	591
0	366
0	351
0	396
0	663
0	916
0	1043
0	776
0	557
0	574
0	855
0	1245
0	1315
0	681
0	219
0	151
0	426
0	663
0	645
0	309
0	184
0	195
0	243
0	184
0	151
0	121
0	111
0	93
0	93
0	76
0	53
0	40
0	22
0	22
0	40
0	22
0	28
0	28
0	22
0	18
0	13
0	13
0	22
0	28
0	22
0	22
0	28
0	40
0	40
0	46
0	68
0	76
0	102
0	162
0	130
0	151
0	219
0	231
0	256
0	323
0	366
0	426
0	506
0	574
0	609
0	645
0	663
0	700
0	738
0	719
0	757
0	796
0	796
0	855
0	875
0	835
0	875
0	1000
0	1000
0	979
0	1000
0	855
0	916
0	958
0	1000
0	958
0	855
0	916
0	875
0	958
0	815
0	719
0	719
0	557
0	681
0	719
0	474
0	243
0	282
0	366
0	458
0	426
0	366
0	219
0	195
0	162
0	184
0	219
0	141
0	68
0	102
0	68
0	84
0	46
0	40
0	40
0	28
0	22
0	18
0	22
0	13
0	9
0	9
0	9
0	13
0	18
0	9
0	18
0	13
0	22
0	28
0	40
0	40
0	40
0	53
0	111
0	111
0	130
0	141
0	162
0	184
0	231
0	231
0	243
0	309
0	426
0	411
0	523
0	609
0	609
0	574
0	645
0	700
0	738
0	757
0	796
0	835
0	835
0	835
0	875
0	875
0	875
0	958
0	937
0	916
0	1000
0	1087
0	1022
0	958
0	1043
0	1154
0	1043
0	979
0	1022
0	958
0	896
0	896
0	896
0	815
0	719
0	719
0	609
0	591
0	591
0	557
0	506
0	540
0	523
0	474
0	396
0	366
0	337
0	256
0	282
0	269
0	172
0	207
0	195
0	184
0	162
0	102
0	102
0	68
0	68
0	68
0	61
0	40
0	28
0	22
0	22
0	18
0	18
0	18
0	18
0	18
0	18
0	6
0	13
0	13
0	18
0	22
0	22
0	22
0	28
0	53
0	53
0	46
0	68
0	76
0	102
0	93
0	141
0	172
0	195
0	231
0	269
0	256
0	295
0	381
0	381
0	442
0	442
0	458
0	523
0	591
0	627
0	627
0	574
0	681
0	815
0	757
0	875
0	896
0	835
0	875
0	937
0	937
0	875
0	937
0	979
0	916
0	916
0	1000
0	896
0	916
0	979
0	1043
0	1000
0	1109
0	1154
0	1154
0	1087
0	1154
0	1022
0	937
0	937
0	937
0	979
0	937
0	1000
0	937
0	896
0	1000
0	958
0	1000
0	1022
0	1109
0	1022
0	958
0	855
0	855
0	815
0	855
0	855
0	835
0	796
0	776
0	719
0	627
0	609
0	627
0	627
0	681
0	719
0	681
0	627
0	609
0	523
0	474
0	426
0	411
0	474
0	490
0	381
0	396
0	366
0	309
0	309
0	295
0	309
0	366
0	366
0	351
0	282
0	243
0	195
0	162
0	130
0	162
0	162
0	162
0	184
0	195
0	102
0	111
0	102
0	102
0	121
0	130
0	111
0	61
0	61
0	76
0	68
0	34
0	46
0	46
0	53
0	61
0	53
0	68
0	34
0	40
0	40
0	28

