10.02.2014	15:05:22
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 245	xPos 218
Drehwinkel:5,00 Grad

Zeilenpixel	Spaltenpixel
6	40
3	34
1	9
3	9
53	28
40	6
6	13
6	46
3	34
9	13
22	53
22	102
1	13
1	22
28	34
93	6
40	13
13	6
13	6
9	3
6	6
6	18
9	9
9	13
3	46
6	61
6	34
1	9
13	18
28	46
53	22
46	53
46	61
40	61
28	53
18	22
9	46
1	22
28	9
84	18
68	22
34	22
13	53
13	68
13	76
13	34
13	34
6	18
3	9
13	3
6	18
1	34
3	13
18	28
40	61
53	111
40	84
9	53
1	53
3	53
9	40
3	53
3	68
3	111
13	102
28	46
40	76
40	130
34	93
22	46
9	53
9	76
28	111
22	84
13	84
13	68
9	53
6	68
13	93
22	102
40	141
76	111
46	53
6	68
6	102
13	130
22	184
18	219
6	172
18	141
28	121
18	151
9	172
9	172
22	184
28	151
28	121
28	93
22	93
18	162
18	162
13	207
13	295
28	231
18	195
3	151
18	172
40	207
46	141
22	162
6	337
6	458
9	458
18	351
18	243
18	207
28	269
34	243
40	269
34	490
18	557
9	557
34	645
93	719
102	627
76	506
53	557
40	557
28	645
18	557
22	442
53	540
93	474
111	490
68	700
40	875
61	855
84	958
84	1131
102	1065
102	1022
84	1176
84	1065
102	1131
121	1176
141	1176
130	1315
121	1363
184	1436
295	1315
366	1387
381	1688
351	1846
309	1766
269	1636
269	1766
323	1873
490	1900
609	1846
540	1714
490	1873
645	1955
757	2150
700	2179
681	2150
738	2207
835	2265
896	2150
875	2265
875	2236
979	2207
1087	2236
1043	2265
937	2412
937	2065
1000	2236
1176	2441
1315	2471
1485	2715
1714	3163
1819	3065
1927	3065
2094	2904
2207	2684
2265	2778
2236	2872
2179	2904
2150	2872
2179	2840
2236	2968
2323	3228
2441	3130
2562	3228
2592	3228
2501	3000
2531	2968
2746	3163
2809	3328
2840	2872
2872	3097
2904	3130
2936	3262
3195	3163
3463	3429
3396	3032
3396	3097
3396	3429
3295	3532
3295	3497
3362	3600
3362	3396
3362	3195
3362	3362
3362	3532
3362	3429
3328	3497
3396	3532
3497	3396
3635	3429
3566	3262
3497	3328
3497	3532
3497	3566
3497	3497
3396	3532
3228	3429
3097	3163
3065	3362
3228	3362
3566	3600
3635	3739
3532	3600
3295	3635
3130	4168
3065	3739
3000	3600
2936	3362
2872	3295
2592	3362
2412	3566
2531	3463
2562	3532
2562	3130
2501	3463
2382	3163
2122	3130
1873	3262
1766	3362
1846	3362
1636	3429
1510	3228
1662	3262
1662	2904
1585	3000
1363	3065
1154	3097
1000	3000
1043	3065
1087	2809
958	2904
681	3000
458	2904
295	2684
172	2778
162	2715
162	2623
184	2592
184	2936
121	2968
93	2840
121	2715
68	2592
18	2412
18	2684
22	2936
18	2936
18	2872
13	2872
9	2840
3	2562
3	2592
6	2684
22	2623
22	2778
28	2715
34	2653
40	2441
61	2531
76	2441
61	2412
53	2531
61	2562
76	2412
130	2382
219	2412
337	2353
490	2353
609	2353
738	2236
796	2179
896	2265
1087	2441
1245	2265
1387	2065
1411	2010
1436	1900
1560	1793
1636	1740
1688	1793
1793	1714
1873	1560
1846	1585
1846	1688
1900	1662
2010	1560
2122	1560
2236	1560
2353	1585
2323	1585
2265	1315
